,state,create_to_launch_day,launch_to_deadline_day,year,staff_pick
10540,successful,34,30,2018,True
10541,failed,1,30,2015,False
10542,successful,1,35,2017,False
10543,failed,116,60,2018,False
10544,failed,3,30,2014,False
10545,successful,5,6,2014,False
10546,failed,12,40,2019,False
10547,successful,57,21,2017,True
10548,failed,20,31,2018,False
10549,failed,70,30,2019,False
10550,successful,1,49,2019,False
10551,successful,135,30,2020,False
10552,successful,13,22,2013,False
10553,successful,68,21,2019,False
10554,successful,23,45,2012,False
10555,successful,9,20,2015,False
10556,successful,22,10,2020,False
10557,successful,25,38,2019,True
10558,successful,26,35,2016,True
10559,failed,0,59,2016,False
10560,successful,21,25,2012,False
10561,successful,0,45,2017,False
10563,failed,25,30,2020,True
10564,failed,22,31,2015,False
10565,successful,213,20,2020,False
10566,failed,0,59,2017,False
10567,failed,22,31,2016,False
10568,successful,77,34,2020,False
10569,successful,4,29,2015,True
10570,failed,11,29,2019,False
10571,successful,14,30,2020,True
10572,successful,12,42,2017,False
10574,successful,30,30,2017,True
10575,failed,3,45,2019,False
10576,successful,63,43,2015,True
10577,successful,2,30,2015,False
10578,successful,10,30,2015,False
10579,successful,65,8,2019,False
10580,failed,7,26,2016,False
10581,failed,0,22,2015,False
10582,failed,27,30,2013,False
10583,successful,7,30,2018,False
10584,failed,2,30,2016,False
10585,successful,11,30,2016,False
10586,successful,36,30,2015,False
10587,failed,7,29,2015,False
10588,failed,2,30,2017,False
10589,successful,77,28,2020,True
10590,successful,104,32,2018,False
10591,successful,338,44,2017,False
10592,failed,0,29,2015,False
10593,successful,7,27,2015,False
10594,successful,4,30,2016,False
10595,successful,7,42,2020,False
10596,successful,7,30,2013,True
10597,successful,8,36,2016,False
10598,failed,10,40,2014,False
10599,successful,55,30,2015,True
10600,successful,31,30,2015,True
10601,successful,37,17,2020,False
10602,failed,0,30,2016,False
10603,successful,11,21,2014,False
10604,failed,7,30,2014,False
10605,successful,46,20,2014,False
10607,successful,7,30,2017,False
10608,successful,152,31,2016,True
10609,successful,7,32,2012,False
10610,successful,112,15,2020,False
10611,successful,4,30,2016,False
10612,successful,53,30,2019,False
10613,successful,9,31,2015,False
10614,successful,36,50,2019,True
10615,successful,53,45,2017,False
10616,successful,20,27,2019,True
10617,successful,12,37,2019,False
10618,failed,46,29,2012,False
10619,successful,12,29,2015,True
10621,failed,4,30,2017,False
10623,successful,8,30,2018,False
10624,successful,90,30,2020,True
10625,successful,0,30,2014,True
10626,successful,2,29,2014,False
10627,failed,6,60,2015,False
10629,successful,73,25,2019,True
10630,successful,0,30,2020,True
10631,successful,14,32,2014,True
10632,successful,16,45,2020,False
10633,successful,36,30,2020,False
10634,successful,1,45,2019,False
10635,successful,15,40,2017,False
10636,successful,21,30,2014,False
10637,failed,0,53,2014,False
10638,successful,13,30,2020,False
10639,failed,199,33,2019,True
10640,failed,36,48,2014,False
10641,successful,7,30,2018,False
10642,failed,1,32,2017,False
10643,successful,0,45,2014,False
10644,failed,0,30,2015,False
10645,failed,0,5,2015,False
10646,successful,35,31,2015,False
10647,failed,0,30,2017,False
10648,successful,0,30,2014,False
10649,successful,3,25,2017,False
10650,successful,7,37,2020,False
10651,successful,13,30,2020,False
10652,successful,12,27,2017,True
10653,successful,10,28,2018,False
10654,failed,270,30,2014,False
10656,failed,4,30,2016,False
10657,successful,8,9,2020,False
10658,successful,29,28,2015,False
10659,successful,25,30,2017,False
10660,successful,174,30,2017,False
10662,successful,10,25,2020,False
10663,failed,43,30,2014,False
10664,successful,63,45,2018,False
10665,failed,14,35,2014,False
10666,successful,19,30,2019,False
10667,successful,22,8,2019,False
10668,failed,266,44,2016,False
10669,successful,0,60,2017,False
10670,successful,1,30,2016,True
10671,failed,370,60,2014,False
10673,failed,1,30,2016,False
10674,successful,49,29,2015,False
10675,successful,818,44,2017,False
10676,successful,16,38,2016,True
10677,successful,3,30,2015,False
10678,successful,3,39,2015,False
10679,successful,15,23,2020,False
10680,successful,23,30,2016,True
10681,successful,31,33,2018,False
10682,successful,1,60,2010,False
10683,successful,432,29,2018,False
10684,successful,0,25,2020,False
10685,failed,165,30,2017,False
10686,failed,7,60,2014,False
10687,failed,372,30,2017,False
10688,failed,0,29,2015,False
10689,failed,0,45,2014,True
10690,successful,0,30,2017,False
10691,failed,67,59,2014,False
10692,failed,20,58,2017,False
10693,successful,2,30,2019,False
10694,successful,0,30,2015,False
10695,failed,0,30,2014,False
10696,successful,43,30,2015,False
10697,successful,5,36,2017,False
10698,successful,2,30,2015,False
10699,failed,0,29,2016,False
10700,successful,7,27,2020,False
10702,successful,0,30,2012,False
10703,successful,15,30,2020,False
10704,successful,2,16,2017,False
10705,failed,136,30,2015,False
10706,failed,2,21,2016,False
10707,successful,3,30,2017,False
10708,successful,11,30,2016,False
10709,failed,86,51,2018,False
10710,failed,2,35,2019,False
10711,failed,17,59,2016,False
10712,successful,41,39,2020,False
10713,successful,2,30,2017,False
10714,failed,3,29,2016,False
10715,failed,67,30,2018,False
10716,successful,0,30,2017,True
10717,failed,24,35,2015,False
10718,successful,160,33,2015,True
10719,failed,10,60,2016,False
10720,successful,28,30,2018,True
10721,successful,1,47,2017,False
10722,failed,1,30,2017,False
10723,successful,3,39,2015,False
10724,successful,18,30,2017,False
10725,successful,0,23,2017,False
10726,successful,3,30,2020,False
10727,failed,3,60,2020,False
10728,successful,2,17,2016,False
10729,failed,39,60,2020,False
10730,successful,1,37,2020,False
10731,failed,7,20,2017,False
10732,successful,7,14,2016,False
10733,successful,146,49,2016,False
10734,successful,3,30,2019,False
10735,failed,0,30,2018,False
10736,failed,14,30,2018,False
10737,successful,151,30,2012,True
10738,successful,160,21,2016,False
10739,successful,0,21,2016,False
10740,failed,7,30,2016,False
10741,successful,48,31,2020,False
10742,failed,1,30,2015,False
10743,successful,59,31,2015,True
10745,successful,72,30,2018,True
10746,failed,4,60,2015,False
10747,failed,128,44,2016,False
10748,failed,3,35,2015,False
10749,failed,2,26,2015,False
10750,failed,9,55,2016,False
10751,successful,2,38,2012,False
10752,failed,3,27,2017,False
10753,successful,13,30,2020,False
10754,successful,5,60,2018,False
10756,failed,19,30,2017,False
10757,failed,3,30,2015,False
10758,successful,33,30,2020,False
10760,failed,124,30,2015,False
10761,failed,0,30,2016,False
10762,successful,22,21,2014,False
10763,failed,2,30,2013,False
10764,successful,17,30,2011,False
10765,successful,17,30,2017,False
10766,failed,79,35,2015,False
10767,successful,4,28,2017,False
10768,successful,0,27,2015,False
10769,successful,1182,30,2020,True
10770,successful,6,36,2011,False
10771,successful,27,30,2016,False
10772,successful,2,30,2018,False
10773,failed,4,39,2015,False
10774,successful,15,27,2020,False
10775,failed,0,30,2015,False
10776,failed,79,30,2017,False
10777,successful,0,14,2011,False
10778,successful,27,30,2014,False
10779,successful,25,30,2020,True
10780,successful,220,30,2017,False
10781,successful,169,30,2019,True
10782,failed,0,30,2018,False
10783,successful,3,30,2014,False
10784,failed,0,30,2019,False
10785,successful,13,30,2018,True
10786,successful,88,31,2017,False
10787,successful,16,50,2016,False
10788,successful,3,29,2012,False
10789,failed,1,60,2019,False
10790,failed,0,30,2016,False
10791,successful,33,32,2013,False
10792,successful,0,23,2014,False
10793,successful,104,30,2020,False
10794,successful,3,14,2020,False
10795,successful,5,29,2019,True
10796,failed,3,40,2019,False
10797,successful,236,30,2020,False
10798,successful,14,40,2014,True
10799,successful,15,60,2012,False
10800,successful,18,7,2017,False
10801,failed,97,27,2017,False
10802,failed,27,54,2013,False
10803,successful,176,28,2020,False
10804,failed,89,60,2015,False
10805,successful,79,25,2018,False
10806,failed,448,30,2014,True
10807,successful,6,25,2011,True
10808,successful,5,30,2020,False
10809,successful,327,11,2020,True
10810,successful,34,30,2020,False
10811,successful,2,31,2020,False
10812,successful,151,30,2017,False
10813,successful,7,29,2019,False
10814,successful,45,31,2020,True
10815,successful,9,45,2018,False
10816,successful,11,30,2018,False
10817,failed,0,31,2016,False
10818,successful,5,36,2020,True
10819,successful,11,30,2018,False
10820,failed,16,29,2020,False
10821,successful,334,21,2017,False
10823,successful,1,19,2015,False
10824,successful,14,60,2020,False
10825,failed,1,30,2015,False
10827,successful,72,40,2013,True
10828,successful,12,60,2011,True
10829,failed,1,28,2018,False
10831,successful,2,30,2014,False
10833,failed,5,30,2014,False
10834,successful,11,21,2016,True
10835,failed,0,19,2016,False
10836,failed,0,60,2019,False
10837,successful,20,33,2020,False
10838,successful,0,42,2018,False
10839,successful,9,28,2019,False
10840,successful,822,30,2017,False
10841,successful,38,30,2015,False
10842,successful,7,60,2016,False
10843,failed,62,21,2015,False
10844,successful,0,30,2015,False
10845,successful,7,30,2020,False
10846,successful,3,10,2019,False
10847,failed,0,30,2014,False
10848,successful,55,30,2020,False
10849,successful,0,15,2018,False
10850,failed,2,45,2016,False
10851,successful,29,45,2020,False
10852,failed,8,11,2017,False
10853,failed,5,33,2019,False
10854,successful,16,30,2020,False
10855,failed,0,59,2015,False
10856,failed,21,30,2016,False
10857,successful,3,30,2018,False
10858,failed,5,14,2012,False
10859,successful,11,30,2015,False
10860,successful,0,30,2017,False
10861,failed,0,60,2020,False
10862,successful,5,34,2012,False
10863,failed,99,30,2015,False
10864,failed,7,52,2017,False
10865,successful,41,60,2019,False
10866,failed,6,59,2016,False
10868,failed,10,30,2016,False
10869,successful,2,60,2018,False
10870,successful,0,80,2010,True
10871,failed,48,60,2014,False
10872,failed,0,30,2014,False
10874,failed,3,30,2015,False
10876,successful,70,33,2015,False
10877,failed,27,30,2013,False
10878,failed,0,15,2017,False
10879,successful,0,30,2015,False
10880,failed,1,30,2014,False
10881,successful,2,30,2020,False
10882,successful,0,30,2017,False
10883,successful,8,8,2020,False
10884,successful,26,37,2018,False
10885,failed,6,59,2019,False
10886,successful,31,40,2016,True
10887,failed,0,30,2014,False
10888,successful,1095,30,2017,False
10889,failed,0,60,2018,False
10890,failed,3,30,2015,False
10891,successful,24,20,2019,False
10892,successful,4,7,2020,False
10893,failed,40,30,2019,False
10895,failed,7,45,2016,False
10896,failed,0,30,2017,False
10897,successful,419,29,2014,False
10898,successful,26,15,2017,False
10899,successful,21,29,2020,False
10900,successful,3,59,2016,False
10901,successful,385,30,2018,False
10902,failed,6,30,2017,False
10903,failed,60,60,2018,False
10904,failed,14,30,2016,False
10905,failed,20,30,2016,False
10906,failed,5,30,2015,False
10907,failed,16,30,2016,False
10908,successful,0,50,2017,False
10909,successful,47,13,2020,False
10910,failed,3,29,2017,False
10911,failed,17,40,2016,False
10912,successful,7,16,2020,False
10914,successful,4,19,2016,False
10915,successful,78,45,2017,False
10916,successful,11,35,2016,False
10917,failed,42,30,2018,False
10918,successful,8,21,2015,False
10919,successful,35,30,2019,False
10920,failed,0,15,2017,False
10921,successful,4,45,2013,False
10922,failed,27,30,2017,False
10924,successful,2,15,2020,False
10926,failed,1,59,2019,False
10927,failed,5,59,2016,False
10928,successful,1,30,2019,False
10929,failed,5,29,2014,False
10930,failed,24,30,2017,False
10931,failed,0,7,2016,False
10932,failed,113,60,2019,False
10933,successful,4,25,2019,False
10934,successful,5,33,2015,False
10935,successful,3,30,2013,False
10936,successful,4,32,2016,True
10937,successful,0,26,2015,False
10938,failed,34,25,2017,False
10939,failed,23,25,2015,False
10940,successful,106,45,2018,False
10941,successful,5,21,2014,False
10942,failed,10,59,2014,True
10943,successful,5,25,2019,False
10944,failed,374,60,2014,False
10945,failed,4,14,2018,False
10946,failed,0,30,2015,False
10947,failed,17,60,2015,False
10948,successful,12,29,2018,False
10949,failed,3,29,2016,False
10950,failed,3,30,2017,False
10951,successful,30,52,2017,True
10952,failed,160,29,2020,False
10953,failed,592,30,2017,False
10954,failed,7,48,2014,False
10955,successful,11,21,2013,False
10956,failed,2,25,2015,False
10957,failed,6,40,2016,False
10958,successful,19,30,2015,False
10959,successful,11,23,2014,False
10960,successful,40,30,2018,False
10961,failed,82,30,2019,False
10962,successful,18,40,2013,False
10963,successful,3,30,2015,False
10964,successful,9,30,2012,False
10965,failed,27,30,2014,False
10966,successful,3,30,2013,False
10967,successful,0,22,2017,False
10969,successful,8,15,2016,False
10970,failed,0,60,2018,False
10971,failed,18,29,2015,False
10972,failed,13,60,2017,False
10973,successful,49,37,2016,True
10974,successful,89,34,2014,False
10975,successful,25,25,2020,True
10976,successful,24,30,2015,False
10977,failed,2,30,2018,False
10978,successful,20,30,2015,False
10979,successful,0,60,2016,False
10980,successful,12,20,2019,True
10981,failed,0,45,2015,False
10982,successful,8,30,2017,False
10983,successful,33,30,2019,True
10984,successful,1317,51,2019,False
10985,failed,3,60,2014,False
10986,failed,0,15,2015,False
10987,failed,29,30,2019,False
10988,failed,4,60,2020,False
10989,successful,43,30,2013,False
10990,failed,683,30,2018,False
10991,successful,848,27,2017,False
10992,successful,10,34,2017,True
10993,successful,59,31,2014,True
10994,successful,1,12,2018,False
10995,successful,15,27,2018,True
10996,successful,11,30,2015,False
10997,successful,9,19,2020,False
10998,failed,0,30,2019,False
10999,successful,38,30,2019,True
11000,successful,13,33,2020,True
11001,failed,61,30,2015,False
11002,successful,27,33,2017,False
11003,failed,1,30,2014,False
11004,successful,13,31,2015,False
11005,successful,25,25,2020,False
11006,failed,6,30,2014,False
11007,failed,0,60,2018,False
11008,successful,16,16,2020,False
11009,failed,120,29,2017,False
11010,successful,61,31,2015,False
11011,successful,140,15,2019,False
11012,successful,2,30,2019,True
11013,successful,20,30,2016,False
11014,successful,22,30,2017,False
11015,failed,4,30,2017,False
11018,successful,9,30,2016,True
11019,failed,272,40,2019,False
11020,successful,16,43,2018,False
11021,failed,22,30,2016,False
11022,successful,10,19,2013,False
11023,successful,13,50,2019,False
11024,failed,336,35,2016,True
11025,failed,0,30,2019,False
11026,successful,27,30,2018,False
11027,successful,3,14,2019,False
11028,successful,40,21,2020,True
11029,successful,14,30,2018,False
11030,successful,17,30,2019,False
11031,failed,69,30,2018,False
11032,failed,0,40,2014,False
11033,successful,302,24,2016,False
11034,failed,8,21,2020,False
11035,failed,20,35,2018,False
11036,successful,5,29,2016,False
11037,failed,1,21,2016,False
11038,successful,112,21,2020,False
11039,failed,18,7,2015,False
11040,failed,21,30,2013,False
11041,failed,0,14,2015,False
11042,successful,5,3,2015,False
11043,failed,3,28,2014,False
11044,successful,16,30,2015,False
11045,failed,0,30,2016,False
11046,successful,5,27,2013,False
11047,successful,211,60,2015,False
11048,failed,3,30,2019,False
11049,failed,8,37,2014,True
11050,successful,4,32,2020,False
11051,successful,1,30,2014,True
11052,failed,2,60,2017,False
11053,failed,21,29,2018,False
11054,successful,81,29,2018,True
11055,successful,14,36,2014,True
11056,successful,8,30,2016,False
11057,failed,1,60,2020,False
11058,failed,6,37,2014,False
11060,successful,2,5,2016,False
11061,successful,48,21,2020,False
11062,failed,0,24,2014,False
11063,successful,16,30,2013,False
11064,failed,13,30,2014,False
11065,failed,1,30,2015,False
11066,failed,3,31,2018,False
11067,failed,3,15,2016,False
11068,failed,360,30,2018,False
11069,successful,68,46,2020,False
11070,failed,55,30,2014,False
11071,successful,7,30,2014,False
11072,failed,3,47,2015,False
11073,failed,0,42,2014,False
11074,successful,2,30,2016,False
11075,failed,1,30,2015,False
11076,successful,0,54,2014,True
11077,successful,69,45,2019,False
11078,successful,20,56,2019,False
11079,failed,75,24,2016,True
11080,successful,0,60,2015,False
11081,successful,17,30,2017,False
11082,successful,161,40,2016,False
11083,failed,2,26,2014,False
11084,failed,0,24,2019,False
11085,failed,13,20,2016,False
11086,failed,4,21,2014,False
11087,successful,48,45,2019,True
11088,failed,65,36,2019,False
11089,successful,14,29,2017,False
11090,successful,181,28,2014,False
11091,failed,51,47,2014,False
11092,successful,6,20,2020,False
11093,successful,8,30,2020,False
11094,successful,12,36,2018,False
11095,failed,17,31,2015,False
11096,successful,16,31,2017,False
11097,failed,31,28,2018,False
11098,failed,14,30,2014,False
11099,successful,71,18,2019,True
11101,successful,368,15,2017,False
11103,successful,10,17,2013,False
11104,failed,6,30,2017,False
11105,failed,0,30,2015,False
11106,failed,2,30,2016,False
11107,failed,15,50,2019,False
11108,successful,42,30,2019,False
11109,successful,41,40,2019,False
11110,failed,7,60,2017,False
11111,successful,123,28,2019,False
11112,failed,131,31,2017,False
11113,successful,1,30,2016,False
11114,failed,1,29,2013,False
11115,successful,55,30,2020,True
11116,failed,14,30,2019,False
11117,successful,51,40,2014,True
11118,successful,1,29,2016,False
11119,failed,4,30,2015,False
11121,successful,2,30,2015,False
11122,successful,31,30,2017,False
11123,successful,224,30,2015,False
11124,successful,1,30,2018,False
11125,failed,663,30,2017,False
11126,failed,36,35,2017,False
11127,failed,1,30,2018,False
11128,failed,1,30,2014,False
11129,successful,50,60,2020,False
11130,failed,47,20,2017,False
11131,failed,0,7,2015,False
11132,successful,422,45,2015,False
11133,successful,42,60,2012,False
11135,successful,23,32,2015,True
11136,successful,0,30,2018,False
11137,successful,202,30,2016,False
11138,successful,3,59,2019,False
11139,failed,7,60,2019,False
11140,failed,21,30,2019,False
11141,failed,8,30,2016,False
11142,successful,6,30,2019,False
11143,successful,49,50,2018,False
11146,failed,1,30,2014,False
11147,successful,1,30,2018,False
11148,failed,12,30,2014,False
11149,successful,37,30,2020,True
11151,failed,23,30,2015,False
11152,failed,0,36,2018,False
11153,successful,15,60,2015,False
11154,successful,107,37,2020,False
11155,successful,19,34,2015,False
11156,failed,104,21,2015,False
11157,failed,0,31,2018,False
11158,failed,368,60,2015,False
11159,failed,1,30,2014,False
11160,successful,115,28,2013,False
11161,failed,0,30,2014,False
11162,successful,38,31,2014,False
11163,failed,65,9,2016,False
11164,successful,6,25,2020,False
11165,successful,1,30,2015,False
11166,failed,1,29,2015,False
11167,successful,37,17,2020,False
11168,successful,6,30,2018,False
11169,failed,7,30,2015,False
11170,successful,186,14,2020,False
11171,successful,0,13,2014,False
11172,failed,2,30,2014,False
11173,successful,35,30,2019,True
11174,successful,39,45,2019,True
11175,successful,26,41,2020,True
11176,failed,192,29,2016,False
11179,successful,23,30,2019,False
11180,failed,0,30,2016,False
11181,failed,13,60,2019,False
11182,failed,0,30,2015,False
11183,failed,26,20,2014,False
11184,failed,11,60,2019,False
11185,successful,17,26,2020,False
11186,failed,0,60,2019,False
11188,successful,9,32,2016,True
11189,failed,26,30,2018,False
11190,successful,2,30,2015,False
11191,failed,6,45,2017,False
11192,successful,221,30,2019,False
11193,successful,40,12,2014,False
11194,successful,21,60,2014,False
11195,successful,59,30,2018,False
11196,failed,129,40,2015,False
11198,failed,1,30,2015,False
11199,failed,1,29,2015,False
11200,failed,0,29,2017,False
11201,failed,1,28,2016,True
11202,successful,49,31,2020,False
11203,successful,11,46,2018,False
11204,successful,20,30,2019,False
11205,successful,38,29,2018,False
11206,successful,18,15,2019,False
11208,successful,4,29,2019,False
11210,successful,5,19,2013,False
11211,failed,11,30,2017,False
11212,successful,14,31,2014,False
11213,failed,32,32,2017,False
11215,failed,5,30,2017,False
11216,successful,88,30,2017,False
11217,failed,20,30,2014,False
11218,successful,21,18,2019,False
11219,successful,1096,20,2020,False
11220,successful,360,13,2018,True
11221,failed,9,48,2017,False
11222,successful,0,30,2015,False
11223,successful,8,45,2019,False
11224,failed,460,29,2020,False
11225,failed,0,30,2015,False
11226,successful,17,17,2017,False
11227,successful,27,30,2020,False
11228,successful,3,29,2018,False
11229,successful,37,25,2020,False
11230,successful,38,30,2019,True
11231,successful,53,59,2015,False
11232,failed,0,24,2015,False
11233,successful,54,32,2018,True
11234,failed,39,60,2020,False
11235,failed,0,60,2014,False
11236,successful,0,39,2019,False
11237,successful,13,30,2019,False
11238,failed,7,30,2016,False
11239,failed,91,28,2015,False
11240,successful,0,29,2016,False
11241,successful,394,32,2014,False
11242,failed,2,30,2019,False
11243,failed,445,30,2015,False
11244,failed,10,30,2015,False
11245,successful,76,30,2015,True
11246,failed,11,15,2015,False
11247,failed,12,30,2013,False
11248,successful,4,30,2013,False
11249,failed,0,30,2017,False
11250,successful,122,30,2018,False
11251,successful,58,25,2015,False
11252,failed,16,30,2015,False
11253,failed,5,30,2014,False
11256,successful,7,30,2016,False
11257,successful,42,58,2018,False
11258,successful,2,30,2015,False
11259,successful,96,30,2016,True
11260,successful,49,32,2018,False
11261,failed,0,30,2015,False
11262,successful,0,29,2017,True
11263,successful,24,32,2013,True
11264,successful,10,45,2013,False
11266,failed,14,39,2017,False
11267,successful,87,30,2016,False
11268,failed,1,30,2018,False
11269,failed,392,60,2017,False
11270,successful,7,60,2018,False
11271,successful,25,19,2020,False
11272,successful,39,30,2020,False
11273,successful,0,34,2014,False
11274,successful,12,35,2020,False
11275,successful,29,29,2020,False
11276,failed,6,59,2018,False
11277,successful,15,32,2017,False
11278,failed,0,29,2015,False
11279,successful,9,23,2014,False
11281,successful,99,30,2012,False
11282,successful,33,60,2020,False
11283,failed,153,39,2017,True
11284,successful,26,60,2020,False
11285,failed,10,31,2017,False
11286,successful,19,59,2020,False
11287,successful,1,31,2020,False
11289,failed,2,60,2014,False
11290,successful,1,30,2010,False
11291,successful,2,46,2013,False
11292,failed,30,30,2012,False
11293,failed,8,33,2020,True
11295,successful,32,40,2017,False
11296,successful,3,21,2018,False
11297,successful,0,11,2018,False
11298,failed,1,30,2016,False
11299,successful,348,30,2019,False
11300,successful,1,60,2018,True
11301,failed,5,30,2015,False
11302,successful,25,30,2013,False
11303,successful,25,28,2019,False
11304,failed,53,30,2014,False
11305,failed,3,60,2020,False
11306,failed,0,15,2017,False
11307,failed,0,30,2015,False
11308,successful,102,31,2013,False
11310,successful,2,29,2017,False
11311,successful,4,75,2010,False
11312,failed,11,39,2016,False
11313,failed,8,30,2017,False
11314,failed,21,30,2017,True
11315,failed,2,30,2014,False
11316,successful,2,15,2020,False
11317,successful,56,30,2020,True
11318,successful,32,30,2019,False
11319,successful,58,17,2018,False
11320,failed,0,60,2019,False
11321,successful,439,30,2014,True
11322,failed,80,32,2016,False
11323,failed,1,20,2015,False
11324,successful,67,30,2020,False
11325,failed,1,30,2016,False
11327,failed,2,58,2017,False
11328,successful,2,40,2020,False
11329,failed,0,29,2016,False
11330,successful,106,24,2020,False
11331,failed,50,45,2014,False
11332,successful,14,14,2015,False
11333,successful,47,21,2016,False
11334,failed,0,60,2018,False
11335,failed,1,30,2015,False
11336,failed,7,44,2017,False
11337,failed,10,30,2014,False
11338,successful,17,30,2012,False
11339,successful,20,21,2014,True
11340,failed,0,30,2015,False
11341,failed,485,30,2015,False
11342,successful,7,60,2011,False
11343,successful,5,60,2015,False
11344,successful,2,45,2016,True
11345,successful,634,44,2016,True
11346,successful,5,30,2018,True
11347,successful,27,30,2016,False
11348,failed,63,31,2015,False
11349,successful,3,25,2013,False
11350,successful,554,35,2018,True
11351,successful,26,30,2020,False
11352,successful,4,30,2012,False
11353,successful,3,21,2011,True
11354,failed,215,35,2016,False
11355,successful,38,31,2014,True
11356,successful,5,29,2019,False
11357,failed,21,30,2018,False
11358,failed,7,43,2018,False
11359,successful,45,60,2019,False
11360,successful,10,28,2013,True
11361,failed,33,53,2015,False
11362,successful,35,29,2013,False
11363,failed,16,19,2017,False
11364,successful,1,8,2012,False
11365,successful,207,33,2018,True
11366,successful,21,60,2011,False
11367,successful,27,40,2020,False
11368,successful,3,30,2014,False
11369,successful,75,30,2018,True
11371,failed,0,21,2019,False
11372,failed,15,60,2014,False
11373,successful,44,30,2018,True
11374,successful,7,30,2020,False
11375,successful,8,30,2014,True
11376,successful,0,15,2015,False
11377,successful,77,32,2018,False
11378,successful,15,26,2014,True
11379,successful,123,35,2013,True
11380,successful,24,30,2020,True
11381,successful,0,22,2019,False
11382,successful,88,39,2020,True
11383,successful,92,30,2020,False
11384,failed,1,30,2016,False
11385,successful,0,30,2019,True
11386,failed,0,29,2010,False
11387,failed,185,29,2018,False
11388,successful,63,30,2020,True
11389,successful,2,24,2014,False
11390,successful,10,30,2014,False
11391,successful,13,23,2019,False
11392,successful,33,30,2017,False
11393,successful,7,34,2015,True
11394,successful,32,30,2015,True
11395,successful,32,30,2017,True
11396,failed,0,30,2017,False
11397,successful,3,20,2020,False
11398,failed,5,30,2018,False
11399,successful,46,25,2020,False
11400,successful,13,29,2018,True
11401,failed,1,21,2018,False
11402,successful,24,39,2017,False
11403,failed,5,30,2018,False
11404,failed,3,30,2014,False
11405,successful,5,60,2019,True
11406,successful,0,29,2016,False
11407,failed,44,14,2013,False
11408,failed,7,15,2017,False
11409,successful,1,45,2015,False
11410,successful,7,31,2015,False
11412,successful,42,21,2018,True
11413,successful,336,30,2020,True
11414,successful,10,22,2015,False
11415,successful,3,20,2018,False
11416,failed,0,30,2016,False
11417,successful,25,30,2018,False
11418,successful,56,31,2018,False
11419,failed,13,30,2016,False
11420,failed,8,30,2017,False
11421,successful,36,30,2020,False
11422,failed,70,45,2019,False
11423,failed,0,6,2015,False
11424,successful,19,25,2016,False
11425,failed,2,30,2017,False
11426,successful,214,30,2018,False
11427,successful,33,21,2020,False
11428,failed,114,45,2017,True
11429,successful,2,30,2016,False
11430,successful,14,10,2011,False
11431,failed,0,51,2019,False
11432,successful,0,18,2014,True
11433,failed,5,45,2016,False
11434,successful,111,40,2019,False
11435,failed,46,29,2015,False
11436,failed,47,32,2015,False
11437,successful,5,30,2014,True
11438,failed,0,22,2018,False
11439,successful,9,30,2013,False
11440,failed,4,43,2012,False
11441,successful,8,50,2018,False
11442,successful,11,15,2016,False
11443,failed,17,50,2017,True
11444,successful,9,30,2019,False
11445,failed,0,45,2015,False
11446,failed,37,60,2017,True
11447,successful,13,30,2020,True
11448,successful,0,20,2018,False
11449,successful,3,35,2014,False
11450,successful,4,30,2015,False
11451,failed,2,60,2019,False
11452,successful,0,16,2015,False
11453,successful,5,60,2015,False
11457,failed,48,30,2014,False
11458,successful,1,40,2017,False
11459,failed,30,45,2018,False
11460,successful,3,30,2017,False
11461,successful,20,30,2013,True
11462,successful,1,60,2018,False
11463,successful,13,27,2018,False
11464,successful,50,29,2017,True
11465,failed,0,60,2018,False
11466,failed,83,30,2015,False
11467,successful,1,20,2018,False
11468,successful,39,30,2016,False
11469,failed,5,60,2019,False
11470,successful,12,89,2010,False
11471,successful,17,41,2012,True
11472,successful,41,47,2020,False
11473,failed,0,60,2018,False
11474,successful,10,30,2020,False
11475,failed,9,50,2019,False
11476,successful,5,20,2015,False
11477,successful,5,30,2017,False
11478,failed,12,45,2018,False
11479,successful,309,30,2019,False
11480,successful,21,30,2015,False
11481,successful,0,14,2019,False
11482,failed,3,30,2017,False
11483,successful,7,25,2019,False
11484,successful,876,30,2017,False
11485,successful,8,30,2019,False
11486,failed,0,30,2016,False
11487,failed,0,29,2017,False
11488,failed,12,60,2017,False
11489,successful,821,60,2020,False
11490,failed,9,30,2017,False
11491,successful,42,41,2020,False
11493,successful,44,35,2017,False
11494,successful,261,40,2020,False
11497,successful,0,30,2016,False
11498,successful,2,20,2018,True
11499,successful,2,58,2019,False
11500,successful,34,30,2016,False
11501,successful,12,30,2016,True
11502,successful,30,30,2016,True
11503,successful,6,30,2015,True
11504,successful,48,50,2012,False
11505,successful,67,23,2020,False
11506,successful,0,30,2015,False
11507,failed,9,43,2015,False
11508,successful,835,29,2019,False
11509,failed,0,40,2017,False
11510,successful,83,30,2020,False
11511,successful,24,30,2013,False
11512,successful,6,19,2020,False
11513,successful,628,30,2015,True
11514,failed,1,30,2015,False
11515,failed,0,45,2017,False
11516,successful,20,45,2020,False
11518,failed,59,60,2017,False
11519,successful,6,45,2020,False
11522,successful,14,30,2018,True
11523,successful,17,60,2020,False
11524,successful,3,30,2016,False
11525,failed,29,29,2015,False
11526,successful,287,30,2015,False
11527,failed,5,30,2016,False
11528,failed,6,30,2016,False
11529,successful,0,25,2015,False
11530,successful,89,19,2020,False
11531,failed,93,35,2015,False
